Date,Open,High,Low,Close,Volume
12-02-2022,145.96,148,145.65,147.81,65447450
12-01-2022,148.21,149.13,146.61,148.31,71250420
11/30/2022,141.395,148.72,140.55,148.03,111380900
11/29/2022,144.29,144.81,140.355,141.17,83763800
11/28/2022,145.14,146.64,143.38,144.22,69346520
11/25/2022,148.305,148.88,147.12,148.11,35195860
11/23/2022,149.45,151.83,149.34,151.07,58301400
11/22/2022,148.13,150.42,146.925,150.18,51804130
11/21/2022,150.16,150.37,147.715,148.01,58724070
11/18/2022,152.305,152.7,149.97,151.29,74829570
11/17/2022,146.43,151.48,146.15,150.72,80389400
11/16/2022,149.13,149.87,147.29,148.79,64218270
11/15/2022,152.215,153.59,148.5613,150.04,89868330
11/14/2022,148.97,150.28,147.43,148.28,73374110
11-11-2022,145.82,150.01,144.37,149.7,93979670
11-10-2022,141.24,146.87,139.5,146.87,118854000
11-09-2022,138.5,138.55,134.5933,134.87,74917790
11-08-2022,140.41,141.43,137.49,139.5,89908480
11-07-2022,137.11,139.145,135.671,138.92,83374630
11-04-2022,142.09,142.67,134.38,138.38,140814800
11-03-2022,142.06,142.8,138.75,138.88,97918520
11-02-2022,148.945,152.17,145,145.03,93604620
11-01-2022,155.08,155.45,149.13,150.65,80379350
10/31/2022,153.155,154.24,151.92,153.34,97943170
10/28/2022,148.2,157.5,147.82,155.74,164762400
10/27/2022,148.07,149.046,144.13,144.8,109180200
10/26/2022,150.96,151.99,148.04,149.35,88436170
10/25/2022,150.09,152.49,149.36,152.34,74732290
10/24/2022,147.185,150.23,146,149.45,75981920
10/21/2022,142.87,147.8479,142.649,147.27,86548610
10/20/2022,143.02,145.89,142.65,143.39,64521990
10/19/2022,141.69,144.9492,141.5,143.86,61758340
10/18/2022,145.49,146.7,140.61,143.75,99136610
10/17/2022,141.065,142.9,140.27,142.41,85250940
10/14/2022,144.31,144.52,138.19,138.38,88597970
10/13/2022,134.99,143.59,134.37,142.99,113224000
10-12-2022,139.13,140.36,138.16,138.34,70433740
10-11-2022,139.9,141.35,138.22,138.98,77033670
10-10-2022,140.42,141.89,138.5729,140.42,74899000
10-07-2022,142.54,143.1,139.445,140.09,85925560
10-06-2022,145.81,147.54,145.22,145.43,68402170
10-05-2022,144.075,147.38,143.01,146.4,79470970
10-04-2022,145.03,146.22,144.26,146.1,87830060
10-03-2022,138.21,143.07,137.685,142.45,114311700
09/30/2022,141.28,143.1,138,138.2,124925300
09/29/2022,146.1,146.72,140.68,142.48,128138200
09/28/2022,147.64,150.6414,144.84,149.84,146691400
09/27/2022,152.74,154.72,149.945,151.76,84442740
09/26/2022,149.66,153.7701,149.64,150.77,93339410
09/23/2022,151.19,151.47,148.56,150.43,96029910
09/22/2022,152.38,154.47,150.91,152.74,86652540
09/21/2022,157.34,158.74,153.6,153.72,101696800
09/20/2022,153.4,158.08,153.08,156.9,107689800
09/19/2022,149.31,154.56,149.1,154.48,81474250
09/16/2022,151.21,151.35,148.37,150.7,162278800
09/15/2022,154.65,155.24,151.38,152.37,90481110
09/14/2022,154.785,157.1,153.6106,155.31,87965410
09/13/2022,159.9,160.54,153.37,153.84,122656600
09-12-2022,159.59,164.26,159.3,163.43,104956000
09-09-2022,155.47,157.82,154.75,157.37,68081010
09-08-2022,154.64,156.36,152.68,154.46,84923850
09-07-2022,154.825,156.67,153.61,155.96,87449570
09-06-2022,156.47,157.09,153.69,154.53,73714840
09-02-2022,159.75,160.362,154.965,155.81,76957770
09-01-2022,156.64,158.42,154.67,157.96,74229900
08/31/2022,160.305,160.58,157.14,157.22,87991090
08/30/2022,162.13,162.56,157.72,158.91,77906200
08/29/2022,161.145,162.9,159.82,161.38,73313950
08/26/2022,170.57,171.05,163.56,163.62,78960980
08/25/2022,168.78,170.14,168.35,170.03,51218210
08/24/2022,167.32,168.11,166.245,167.53,53841520
08/23/2022,167.08,168.71,166.65,167.23,54147080
08/22/2022,169.69,169.86,167.135,167.57,69026810
08/19/2022,173.03,173.74,171.3101,171.52,70346300
08/18/2022,173.75,174.9,173.12,174.15,62290080
08/17/2022,172.77,176.15,172.57,174.55,79542040
08/16/2022,172.78,173.71,171.6618,173.03,56377050
08/15/2022,171.52,173.39,171.345,173.19,54091690
08-12-2022,169.82,172.17,169.4,172.1,68039380
08-11-2022,170.06,170.99,168.19,168.49,57149160
08-10-2022,167.68,169.34,166.9,169.24,70170540
08-09-2022,164.02,165.82,163.25,164.92,63135500
08-08-2022,166.37,167.81,164.2,164.87,60362340
08-05-2022,163.21,165.85,163,165.35,56696990
08-04-2022,166.005,167.19,164.43,165.81,55474140
08-03-2022,160.84,166.59,160.75,166.13,82507490
08-02-2022,160.1,162.41,159.63,160.01,59907030
08-01-2022,161.01,163.59,160.89,161.51,67829380
07/29/2022,161.24,163.63,159.5,162.51,101786900
07/28/2022,156.98,157.64,154.41,157.35,81378730
07/27/2022,152.58,157.33,152.16,156.79,78620690
07/26/2022,152.265,153.085,150.8,151.6,55138690
07/25/2022,154.01,155.04,152.28,152.95,53623950
07/22/2022,155.39,156.28,153.41,154.09,66675410
07/21/2022,154.5,155.57,151.94,155.35,65086640
07/20/2022,151.12,153.72,150.37,153.04,64823410
07/19/2022,147.92,151.23,146.91,151,82982370
07/18/2022,150.74,151.57,146.7,147.07,81420870
